settlement_id,txn_ref,settled_amount,settlement_date,fee_deducted
SETT-1000,TXN-1000,2483.36,2026-09-03,50.68
SETT-1001,TXN-1001,1008.52,2026-09-03,20.58
SETT-1002,TXN-1002,1008.93,2026-09-03,20.59
SETT-1003,TXN-1003,1885.73,2026-09-03,38.48
SETT-1004,TXN-1004,4711.64,2026-09-03,96.16
SETT-1005,TXN-1005,1623.13,2026-09-11,33.13
SETT-1006,TXN-1006,390.41,2026-09-03,7.97
SETT-1007,TXN-1007,267.77,2026-09-03,5.46
SETT-1008,TXN-1008,2013.76,2026-09-03,41.1
SETT-1009,TXN-1009,2157.02,2026-09-03,44.02
SETT-1010,TXN-1010,750.36,2026-09-03,25.52
SETT-1011,TXN-1011,890.8,2026-09-03,18.18
SETT-1012,TXN-1012,3740.18,2026-09-03,76.33
SETT-1013,TXN-1013,3116.77,2026-09-03,63.61
SETT-1014,TXN-1014,3705.04,2026-09-03,75.61
SETT-1015,TXN-1015,3908.3,2026-09-03,79.76
SETT-1016,TXN-1016,1425.07,2026-09-03,29.08
SETT-1017,TXN-1017,3055.9,2026-09-03,62.37
SETT-1018,TXN-1018,490.71,2026-09-03,10.01
SETT-1019,TXN-1019,3483.04,2026-09-03,71.08
SETT-1021,TXN-1021,3581.4,2026-09-03,73.09
SETT-1022,TXN-1022,3336.12,2026-09-03,68.08
SETT-1023,TXN-1023,4313.31,2026-09-03,88.03
SETT-1024,TXN-1024,531.4,2026-09-03,10.85
SETT-1025,TXN-1025,2717.93,2026-09-03,56.49
SETT-1026,TXN-1026,2051.8,2026-09-03,41.87
SETT-1027,TXN-1027,4226.36,2026-09-03,86.25
SETT-1028,TXN-1028,1088.02,2026-09-03,22.2
SETT-1029,TXN-1029,3940.23,2026-09-03,80.41
SETT-1030,TXN-1030,2232.19,2026-09-03,45.55
SETT-1031,TXN-1031,2806.74,2026-09-03,57.28
SETT-1032,TXN-1032,2388.53,2026-09-03,48.75
SETT-1033,TXN-1033,172.45,2026-09-03,3.52
SETT-1034,TXN-1034,880.98,2026-09-03,17.98
SETT-1035,TXN-1035,3585.19,2026-09-03,73.17
SETT-1036,TXN-1036,4577.46,2026-09-03,93.42
SETT-1037,TXN-1037,3618.5,2026-09-03,73.85
SETT-1038,TXN-1038,399.15,2026-09-03,8.15
SETT-1039,TXN-1039,4841.48,2026-09-03,98.81
SETT-1040,TXN-1040,1245.68,2026-09-03,25.42
SETT-1041,TXN-1041,1691.49,2026-09-03,34.52
SETT-1042,TXN-1042,419.52,2026-09-03,8.56
SETT-1043,TXN-1043,4085.4,2026-09-03,83.38
SETT-1044,TXN-1044,1668.39,2026-09-03,34.05
SETT-1045,TXN-1045,1694.62,2026-09-03,34.58
SETT-1046,TXN-1046,4869.48,2026-09-03,99.38
SETT-1047,TXN-1047,4089.3,2026-09-03,83.45
SETT-1048,TXN-1048,3517.79,2026-09-03,71.79
SETT-1049,TXN-1049,2606.4,2026-09-03,53.19
